"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"KDELR2"	1.09360702714574e-14	2.14703432858222	0.235	0.012	2.53148154643696e-10	"Mig"	"KDELR2"	"80-90"
"ARHGDIB"	1.14297531081241e-14	0.492396481829824	0.465	0.159	2.64575924946856e-10	"Mig"	"ARHGDIB"	"80-90"
"RHBDF2"	1.151751546934e-14	0.926070431026552	0.32	0.053	2.66607448084282e-10	"Mig"	"RHBDF2"	"80-90"
"HNRNPDL"	1.25645167447757e-14	1.84019276711958	0.361	0.089	2.90843433608067e-10	"Mig"	"HNRNPDL"	"80-90"
"CALM1"	1.2901279289162e-14	1.4368688196174	0.367	0.089	2.98638812985522e-10	"Mig"	"CALM1"	"80-90"
"SLC25A5"	1.52728836803026e-14	1.10097608443581	0.252	0.02	3.53536711431645e-10	"Mig"	"SLC25A5"	"80-90"
"CTSB"	1.54316426778672e-14	0.740031985913847	0.801	0.508	3.5721166470727e-10	"Mig"	"CTSB"	"80-90"
"FLCN"	2.05150121332791e-14	-2.59809872386649	0.178	0.407	4.74881500861144e-10	"Mig"	"FLCN"	"80-90"
"CSF3R"	2.32263334730583e-14	0.99477863582178	0.308	0.053	5.37643167234353e-10	"Mig"	"CSF3R"	"80-90"
"SAP18"	2.58405550124867e-14	1.41853001708205	0.215	0.004	5.98157167429043e-10	"Mig"	"SAP18"	"80-90"
"C1QB"	2.60089514924196e-14	0.667654500197714	0.75	0.459	6.02055209146528e-10	"Mig"	"C1QB"	"80-90"
"PSMB6"	2.75895487814414e-14	1.92825609089648	0.223	0.008	6.38642875192806e-10	"Mig"	"PSMB6"	"80-90"
"HLA-DPA1"	2.91519971766333e-14	0.334867763365671	0.57	0.244	6.74810430644707e-10	"Mig"	"HLA-DPA1"	"80-90"
"HLA-A"	3.09587654580669e-14	0.987248503195599	0.391	0.114	7.16633502823332e-10	"Mig"	"HLA-A"	"80-90"
"COX3"	3.34592541316539e-14	0.0516675561622808	0.71	0.37	7.74514814639525e-10	"Mig"	"COX3"	"80-90"
"COLGALT1"	3.69340083079506e-14	0.761503784275614	0.375	0.098	8.54948424312441e-10	"Mig"	"COLGALT1"	"80-90"
"NINJ1"	3.99475848935179e-14	0.952932015534515	0.298	0.049	9.24706695115152e-10	"Mig"	"NINJ1"	"80-90"
"GLRX"	4.24871118142923e-14	0.597344831305435	0.262	0.028	9.83491664277238e-10	"Mig"	"GLRX"	"80-90"
"GUK1"	4.76366769994183e-14	1.6969934595398	0.211	0.004	1.10269379918254e-09	"Mig"	"GUK1"	"80-90"
"PSMA7"	5.11785685295946e-14	1.32749348311628	0.343	0.077	1.18468150432306e-09	"Mig"	"PSMA7"	"80-90"
"UQCRQ"	5.4519875485112e-14	1.44004541620515	0.237	0.016	1.26202607772937e-09	"Mig"	"UQCRQ"	"80-90"
"BIN1"	6.2998227628483e-14	1.07571365214749	0.357	0.085	1.45828297314412e-09	"Mig"	"BIN1"	"80-90"
"HLA-DRB6"	7.10627943453675e-14	0.455327818802296	0.343	0.073	1.64496156350657e-09	"Mig"	"HLA-DRB6"	"80-90"
"HNRNPA1"	9.1187750530473e-14	0.307206003583131	0.31	0.057	2.11081404927939e-09	"Mig"	"HNRNPA1"	"80-90"
"HCK"	9.4651689049155e-14	1.09762706984566	0.262	0.033	2.19099729810984e-09	"Mig"	"HCK"	"80-90"
"TLR2"	1.09764694838912e-13	1.13410099261818	0.316	0.065	2.54083315613113e-09	"Mig"	"TLR2"	"80-90"
"GRB2"	1.25324780320946e-13	1.05957219731807	0.359	0.093	2.90101801486927e-09	"Mig"	"GRB2"	"80-90"
"RASSF4"	1.45215271601586e-13	1.0642505099069	0.262	0.033	3.36144310703351e-09	"Mig"	"RASSF4"	"80-90"
"NDUFC1"	1.71337891326354e-13	1.44489733787944	0.241	0.024	3.96612950842244e-09	"Mig"	"NDUFC1"	"80-90"
"MIR12136"	1.8944788237256e-13	0.482093577203383	0.221	0.012	4.38533958116002e-09	"Mig"	"MIR12136"	"80-90"
"RASSF2"	2.15321471731449e-13	1.73930115205572	0.211	0.008	4.98426142763959e-09	"Mig"	"RASSF2"	"80-90"
"NDUFA1"	2.15328773833045e-13	0.755489183025594	0.221	0.012	4.98443045668732e-09	"Mig"	"NDUFA1"	"80-90"
"ND4"	2.26186196813044e-13	-0.301159971192036	0.746	0.37	5.23575808382835e-09	"Mig"	"ND4"	"80-90"
"ATP5PO"	4.31573444104702e-13	1.88690566751673	0.213	0.012	9.99006208413564e-09	"Mig"	"ATP5PO"	"80-90"
"ID2"	4.37463782469165e-13	1.27418026958547	0.231	0.02	1.01264116365962e-08	"Mig"	"ID2"	"80-90"
"HSPH1"	4.98792189064195e-13	-2.38913109616983	0.126	0.337	1.1546041592458e-08	"Mig"	"HSPH1"	"80-90"
"HLA-DQB1"	5.20071083529103e-13	0.219048759532738	0.302	0.061	1.20386054415317e-08	"Mig"	"HLA-DQB1"	"80-90"
"CORO1A"	5.43656601231985e-13	1.08279574613767	0.282	0.049	1.2584563005318e-08	"Mig"	"CORO1A"	"80-90"
"HSBP1"	6.10647087448346e-13	0.345826780091191	0.247	0.028	1.41352587802543e-08	"Mig"	"HSBP1"	"80-90"
"RAB31"	8.15023014525677e-13	0.810387183439705	0.262	0.037	1.88661527402404e-08	"Mig"	"RAB31"	"80-90"
"DNAJC3"	9.06675842653706e-13	0.608558583314781	0.533	0.232	2.0987732405748e-08	"Mig"	"DNAJC3"	"80-90"
"GOLGA4"	1.06103726999934e-12	0.65595440536178	0.389	0.122	2.45608907259447e-08	"Mig"	"GOLGA4"	"80-90"
"PPT1"	1.16261889797953e-12	1.15028986351451	0.249	0.033	2.69123022504301e-08	"Mig"	"PPT1"	"80-90"
"CD99"	1.30742504693662e-12	0.753780733467547	0.217	0.016	3.02642749864888e-08	"Mig"	"CD99"	"80-90"
"MERTK"	1.41781006756842e-12	1.31216374926869	0.239	0.028	3.28194674440738e-08	"Mig"	"MERTK"	"80-90"
"COX6A1"	1.52658414705654e-12	1.4305440022543	0.266	0.045	3.53373698360648e-08	"Mig"	"COX6A1"	"80-90"
"VSIR"	1.55193383076623e-12	0.999580222213496	0.282	0.053	3.59241643145767e-08	"Mig"	"VSIR"	"80-90"
"LAP3"	1.60503744526327e-12	0.700980227837546	0.367	0.102	3.71534067829542e-08	"Mig"	"LAP3"	"80-90"
"SERPINA1"	1.69726482199696e-12	0.953340790552302	0.262	0.045	3.92882860995855e-08	"Mig"	"SERPINA1"	"80-90"
"SLC3A2"	1.70486920159547e-12	2.08558530817046	0.197	0.008	3.94643122785319e-08	"Mig"	"SLC3A2"	"80-90"
"MTND4P12"	1.84553353388663e-12	1.33168576882823	0.331	0.089	4.27204102424076e-08	"Mig"	"MTND4P12"	"80-90"
"RACK1"	1.93922864983882e-12	0.698126338237408	0.355	0.098	4.4889264786469e-08	"Mig"	"RACK1"	"80-90"
"NDUFB2"	2.01508420588795e-12	1.67764651291677	0.288	0.061	4.66451691978942e-08	"Mig"	"NDUFB2"	"80-90"
"TMA7"	2.16062397339054e-12	0.416022754505944	0.351	0.093	5.00141237360442e-08	"Mig"	"TMA7"	"80-90"
