"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"MAFB"	2.74938070497006e-10	0.469677469433004	0.197	0.138	9.000922551931e-06	"Mig"	"MAFB"	"Temporal lobe"
"LACTB2-AS1"	3.11764687391098e-10	-0.326469010188239	0.133	0.192	1.02065523358098e-05	"Mig"	"LACTB2-AS1"	"Temporal lobe"
"RP11-989E6.10"	4.68009280677181e-10	-0.189133746281074	0.061	0.106	1.53216878308096e-05	"Mig"	"RP11-989E6.10"	"Temporal lobe"
"SWAP70"	5.22274149007387e-10	0.253332392509253	0.344	0.275	1.70982110902038e-05	"Mig"	"SWAP70"	"Temporal lobe"
"TCTN1"	5.27482082620391e-10	-0.168313973560126	0.084	0.135	1.72687084208263e-05	"Mig"	"TCTN1"	"Temporal lobe"
"HTRA1"	6.2818582296855e-10	-0.257615457456528	0.679	0.709	2.05655474723444e-05	"Mig"	"HTRA1"	"Temporal lobe"
"TGFBR1"	6.80345140735753e-10	0.297209381777276	0.495	0.43	2.22731392174071e-05	"Mig"	"TGFBR1"	"Temporal lobe"
"HSPA1B"	6.84504535310672e-10	-0.112870884137836	0.263	0.34	2.24093094770008e-05	"Mig"	"HSPA1B"	"Temporal lobe"
"FOLR2"	7.06884748866774e-10	-0.331351001798386	0.342	0.405	2.31419929084005e-05	"Mig"	"FOLR2"	"Temporal lobe"
"DOK3"	1.10828531759371e-09	0.347027555600335	0.205	0.146	3.62830447273828e-05	"Mig"	"DOK3"	"Temporal lobe"
"SOD2"	1.29341678584908e-09	-0.243615374116941	0.335	0.404	4.23438787351271e-05	"Mig"	"SOD2"	"Temporal lobe"
"MT-CO2"	1.33214872530264e-09	-0.120920198117503	0.958	0.97	4.36118849689579e-05	"Mig"	"MT-CO2"	"Temporal lobe"
"MS4A6A"	1.38869269939073e-09	0.199324416996724	0.224	0.16	4.54630215926537e-05	"Mig"	"MS4A6A"	"Temporal lobe"
"CYBA"	1.56979881894868e-09	-0.300747064086992	0.278	0.342	5.13920737347418e-05	"Mig"	"CYBA"	"Temporal lobe"
"CH25H"	1.80834574548435e-09	0.617259429897147	0.523	0.48	5.92016230156667e-05	"Mig"	"CH25H"	"Temporal lobe"
"HPSE"	1.94090093664964e-09	0.221629344424263	0.151	0.099	6.35412148640361e-05	"Mig"	"HPSE"	"Temporal lobe"
"LA16c-60D12.1"	2.0336188071308e-09	-0.366018877698025	0.15	0.207	6.65766125078483e-05	"Mig"	"LA16c-60D12.1"	"Temporal lobe"
"UBA6-AS1"	2.13934880300886e-09	-0.184751562740443	0.094	0.145	7.0038001112904e-05	"Mig"	"UBA6-AS1"	"Temporal lobe"
"OLFML3"	2.43768991876531e-09	-0.198260860022951	0.488	0.56	7.98050925605388e-05	"Mig"	"OLFML3"	"Temporal lobe"
"LYVE1"	2.44588878069001e-09	-0.283909983481285	0.213	0.28	8.00735069022294e-05	"Mig"	"LYVE1"	"Temporal lobe"
"IL17RA"	2.75791918548112e-09	0.225245689409411	0.654	0.599	9.0288758294281e-05	"Mig"	"IL17RA"	"Temporal lobe"
"ZFP36L1"	2.87239082365721e-09	0.178168763394914	0.889	0.878	9.40363307848899e-05	"Mig"	"ZFP36L1"	"Temporal lobe"
"CYTH3"	3.31042783250926e-09	0.245848687046754	0.196	0.139	0.000108376786380688	"Mig"	"CYTH3"	"Temporal lobe"
