"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"HRH2"	0.00470252061092319	-0.459185125524064	0.124	0.375	1	"Ast"	"HRH2"	"40-60"
"CD72"	0.00471176923120267	-0.59047874280135	0.062	0.25	1	"Ast"	"CD72"	"40-60"
"RGS4"	0.00476335764369323	-0.53920184025512	0.01	0.125	1	"Ast"	"RGS4"	"40-60"
"ELP1"	0.00476335764369323	-0.223824268730576	0.01	0.125	1	"Ast"	"ELP1"	"40-60"
"ZNF682"	0.00476335764369323	-0.125491752041381	0.01	0.125	1	"Ast"	"ZNF682"	"40-60"
"RGS18"	0.00485038304745547	-1.10643252125812	0.227	0.5	1	"Ast"	"RGS18"	"40-60"
"COTL1"	0.00486119070254285	0.887221445393153	0.732	0.583	1	"Ast"	"COTL1"	"40-60"
"ABLIM3"	0.00508451391121463	-0.450283362069942	0.01	0.125	1	"Ast"	"ABLIM3"	"40-60"
"AC090517.4"	0.00508451391121463	-0.214662479291828	0.01	0.125	1	"Ast"	"AC090517.4"	"40-60"
"MYH11"	0.00508451391121463	-0.713401418578779	0.01	0.125	1	"Ast"	"MYH11"	"40-60"
"GRINA"	0.00512157456862637	-0.953114038266243	0.557	0.792	1	"Ast"	"GRINA"	"40-60"
"XPO1"	0.0051874783387439	0.746648732036665	0.495	0.208	1	"Ast"	"XPO1"	"40-60"
"IFIT2"	0.00530574958230421	-0.730915964078907	0.103	0.333	1	"Ast"	"IFIT2"	"40-60"
"ANKRD42"	0.00533359511893171	-0.495475211843313	0.041	0.208	1	"Ast"	"ANKRD42"	"40-60"
"MRC1"	0.00534682048104279	-0.916630449612601	0.206	0.5	1	"Ast"	"MRC1"	"40-60"
"ARHGDIB"	0.00538984437117756	0.764088527318382	0.773	0.625	1	"Ast"	"ARHGDIB"	"40-60"
"AL139274.2"	0.00542511795852907	-0.142334346779978	0.01	0.125	1	"Ast"	"AL139274.2"	"40-60"
"AC078846.1"	0.00542511795852907	-0.445811796197143	0.01	0.125	1	"Ast"	"AC078846.1"	"40-60"
"NAIF1"	0.00542511795852907	-0.86811572624807	0.01	0.125	1	"Ast"	"NAIF1"	"40-60"
"AL161421.1"	0.00542511795852907	-0.227625173352038	0.01	0.125	1	"Ast"	"AL161421.1"	"40-60"
"RNF149"	0.00547780894604769	-0.708702011750399	0.536	0.708	1	"Ast"	"RNF149"	"40-60"
"DAAM1"	0.00548659310656539	0.8613252342284	0.32	0.042	1	"Ast"	"DAAM1"	"40-60"
"ABCG1"	0.00552163729899059	-0.135178601940192	0.196	0.5	1	"Ast"	"ABCG1"	"40-60"
"GPX4"	0.00553742346800399	0.812443626198002	0.794	0.583	1	"Ast"	"GPX4"	"40-60"
"NR2C2"	0.00557343404700691	-0.146446602517477	0.041	0.208	1	"Ast"	"NR2C2"	"40-60"
