"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"STAT3"	7.00157607294658e-06	-0.301714318449205	0.423	0.71	0.234090694422896	"Ast"	"STAT3"	"GBM"
"IRF1"	7.01232124560437e-06	-0.367556553324804	0.278	0.527	0.234449948525536	"Ast"	"IRF1"	"GBM"
"SKI"	7.16029078832896e-06	-0.457592366811346	0.206	0.432	0.23939716221699	"Ast"	"SKI"	"GBM"
"NFIL3"	7.2319568434075e-06	-0.477591957770041	0.32	0.571	0.241793245102486	"Ast"	"NFIL3"	"GBM"
"YWHAB"	7.45932420979947e-06	-0.414521411677521	0.711	0.883	0.249395045630435	"Ast"	"YWHAB"	"GBM"
"DOCK2"	8.00602563126591e-06	-0.279756123564896	0.505	0.705	0.267673460955744	"Ast"	"DOCK2"	"GBM"
"TFDP2"	8.01414636525008e-06	-0.442848096416497	0.268	0.514	0.267944969575771	"Ast"	"TFDP2"	"GBM"
"DAP"	8.11833964637702e-06	-0.417700636117469	0.134	0.344	0.271428567736969	"Ast"	"DAP"	"GBM"
"PLIN2"	8.52312436529744e-06	-0.10566077446446	0.505	0.792	0.284962140029355	"Ast"	"PLIN2"	"GBM"
"SPRY1"	8.54422580773079e-06	-0.359560126109192	0.072	0.283	0.285667645655671	"Ast"	"SPRY1"	"GBM"
"MORF4L1"	8.69445704215543e-06	-0.364727039553444	0.649	0.844	0.290690476747425	"Ast"	"MORF4L1"	"GBM"
"NAGK"	9.08328076911779e-06	-0.177040488577054	0.351	0.61	0.303690409234684	"Ast"	"NAGK"	"GBM"
"STOM"	9.11610806734333e-06	-0.358710476846367	0.454	0.706	0.304787957123557	"Ast"	"STOM"	"GBM"
"MXRA7"	9.38470968446158e-06	0.19600607244059	0.216	0.09	0.313768383590289	"Ast"	"MXRA7"	"GBM"
"INSR"	9.76548651613054e-06	-0.317778164270029	0.062	0.26	0.326499276180308	"Ast"	"INSR"	"GBM"
"AHNAK"	9.82026913691707e-06	-0.336127241176587	0.402	0.65	0.328330878323685	"Ast"	"AHNAK"	"GBM"
"NCEH1"	1.01477277208447e-05	-0.417412056126072	0.134	0.368	0.339279128618721	"Ast"	"NCEH1"	"GBM"
"GLYR1"	1.09307436308806e-05	-0.385149882043046	0.103	0.315	0.365458482554861	"Ast"	"GLYR1"	"GBM"
"GNS"	1.11176118305648e-05	-0.406473839940723	0.268	0.524	0.371706233943103	"Ast"	"GNS"	"GBM"
