"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"ACTB"	1.65441357702241e-19	0.313900971721746	0.326	0.109	5.55734064657598e-15	"Mig"	"ACTB"	"70-80"	"male"
"CNTNAP2"	1.68293468422588e-19	0.149223984984634	0.327	0.107	5.65314589778316e-15	"Mig"	"CNTNAP2"	"70-80"	"male"
"EPS15"	1.95335648332369e-19	0.430084653698571	0.217	0.045	6.56151976313261e-15	"Mig"	"EPS15"	"70-80"	"male"
"CH17-189H20.1"	2.14409066310814e-19	0.107131461837108	0.29	0.085	7.20221494644655e-15	"Mig"	"CH17-189H20.1"	"70-80"	"male"
"CAMK2G"	2.23393995188661e-19	0.157223338535522	0.327	0.107	7.50402769238232e-15	"Mig"	"CAMK2G"	"70-80"	"male"
"RP11-197K3.1"	2.49153267341965e-19	0.509025796346334	0.183	0.027	8.36930740328396e-15	"Mig"	"RP11-197K3.1"	"70-80"	"male"
"NKAIN3"	2.60654050902211e-19	0.169701406891613	0.544	0.236	8.75563022385618e-15	"Mig"	"NKAIN3"	"70-80"	"male"
"JUNB"	2.73393905730363e-19	0.777393391414134	0.22	0.049	9.18357468738864e-15	"Mig"	"JUNB"	"70-80"	"male"
"SPDYE3"	3.13461976512313e-19	0.952774101484753	0.137	0.004	1.05295012530251e-14	"Mig"	"SPDYE3"	"70-80"	"male"
"APC"	4.12410641069367e-19	0.171206521515676	0.339	0.116	1.38532858441611e-14	"Mig"	"APC"	"70-80"	"male"
