"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"ITM2C"	0.00136529769750744	-0.612506071682112	0.084	0.143	1	"Ast"	"ITM2C"	"20-40"
"FAM19A5"	0.00143670249369834	0.248394121532068	0.206	0.129	1	"Ast"	"FAM19A5"	"20-40"
"RSF1"	0.00149796363833353	0.280551727888688	0.251	0.167	1	"Ast"	"RSF1"	"20-40"
"ZMYM4"	0.00150229631668679	0.314921331183468	0.112	0.059	1	"Ast"	"ZMYM4"	"20-40"
"ANK2"	0.00156742314328823	0.233063071216474	0.673	0.561	1	"Ast"	"ANK2"	"20-40"
"VPS13B"	0.00160186731677723	0.355181582186098	0.192	0.121	1	"Ast"	"VPS13B"	"20-40"
"MSH3"	0.00161903494673356	0.438639623575184	0.135	0.077	1	"Ast"	"MSH3"	"20-40"
"CCDC66"	0.00164416616308624	0.342774536608386	0.112	0.059	1	"Ast"	"CCDC66"	"20-40"
"SAFB2"	0.00164699299776994	0.309039800731212	0.239	0.158	1	"Ast"	"SAFB2"	"20-40"
"PACS1"	0.00176163839438479	0.254718905843178	0.186	0.115	1	"Ast"	"PACS1"	"20-40"
"CSMD3"	0.00181649753105301	0.49818514476005	0.19	0.123	1	"Ast"	"CSMD3"	"20-40"
"SCFD1"	0.00184771068033501	0.430742025722187	0.112	0.061	1	"Ast"	"SCFD1"	"20-40"
"DTNA"	0.00189860619298779	0.180607946038646	0.804	0.708	1	"Ast"	"DTNA"	"20-40"
"PPFIA2"	0.00192634236645263	0.311301286652249	0.312	0.222	1	"Ast"	"PPFIA2"	"20-40"
"LINC00476"	0.00195134655735107	0.366900105495689	0.137	0.08	1	"Ast"	"LINC00476"	"20-40"
"EYA2"	0.00198735940547431	0.370630886927749	0.222	0.149	1	"Ast"	"EYA2"	"20-40"
"PDE3A"	0.00202980415438332	0.502194722571134	0.12	0.068	1	"Ast"	"PDE3A"	"20-40"
"ZNF518A"	0.00204665783700093	0.21979556414889	0.208	0.133	1	"Ast"	"ZNF518A"	"20-40"
"ZFC3H1"	0.00208796417862694	0.277488478677559	0.135	0.078	1	"Ast"	"ZFC3H1"	"20-40"
"KIAA0232"	0.00209098750866323	0.276947552796768	0.153	0.092	1	"Ast"	"KIAA0232"	"20-40"
"CHST11"	0.0021787842443173	0.395891207634128	0.202	0.131	1	"Ast"	"CHST11"	"20-40"
"LINC01420"	0.00221993639874007	0.330511597936493	0.11	0.059	1	"Ast"	"LINC01420"	"20-40"
"RP4-717I23.3"	0.00223438888746443	0.213288248842842	0.218	0.14	1	"Ast"	"RP4-717I23.3"	"20-40"
"DPH6-AS1"	0.00228345529290913	0.301692956951282	0.143	0.084	1	"Ast"	"DPH6-AS1"	"20-40"
"WRN"	0.002328240850689	0.360981325921983	0.116	0.064	1	"Ast"	"WRN"	"20-40"
"MPHOSPH8"	0.0023664031364445	0.364678125112843	0.196	0.127	1	"Ast"	"MPHOSPH8"	"20-40"
"BPTF"	0.00236931134497432	0.321474817715441	0.408	0.312	1	"Ast"	"BPTF"	"20-40"
"FMNL2"	0.00237986986727138	0.284460409789287	0.549	0.44	1	"Ast"	"FMNL2"	"20-40"
"SRPK2"	0.00238405127013202	0.317818311546763	0.216	0.143	1	"Ast"	"SRPK2"	"20-40"
"ADGRL3"	0.00238724520874761	0.240596030401757	0.645	0.529	1	"Ast"	"ADGRL3"	"20-40"
"FBXL17"	0.00240734118842691	0.290525385917747	0.318	0.229	1	"Ast"	"FBXL17"	"20-40"
"PSD3"	0.00243867197089445	0.32390931974447	0.431	0.337	1	"Ast"	"PSD3"	"20-40"
"ARHGAP21"	0.00245921969093219	0.262309520258428	0.312	0.222	1	"Ast"	"ARHGAP21"	"20-40"
"NTRK3"	0.00247971202600898	0.291176220415167	0.337	0.248	1	"Ast"	"NTRK3"	"20-40"
"NCOR1"	0.00263958173915277	0.285365619960531	0.286	0.205	1	"Ast"	"NCOR1"	"20-40"
"SMG6"	0.00263971975219429	0.231116556707304	0.104	0.055	1	"Ast"	"SMG6"	"20-40"
"CDHR3"	0.00269840778900558	0.37569188503025	0.19	0.124	1	"Ast"	"CDHR3"	"20-40"
"SETD5"	0.00273555626888387	0.297139393103403	0.214	0.142	1	"Ast"	"SETD5"	"20-40"
"LINC00511"	0.00274983639821944	0.281048988542826	0.3	0.208	1	"Ast"	"LINC00511"	"20-40"
"ACADVL"	0.00275098473668308	-0.540470089346921	0.096	0.154	1	"Ast"	"ACADVL"	"20-40"
"JAKMIP2"	0.00283980939295863	0.192994136064414	0.275	0.192	1	"Ast"	"JAKMIP2"	"20-40"
"IMMP2L"	0.00286539842851039	0.294194531011855	0.214	0.14	1	"Ast"	"IMMP2L"	"20-40"
"ST6GALNAC3"	0.00287169598503234	0.347651715206178	0.124	0.071	1	"Ast"	"ST6GALNAC3"	"20-40"
"ZNF133"	0.00287445091085528	0.255810818801036	0.1	0.053	1	"Ast"	"ZNF133"	"20-40"
"CRB1"	0.00293354330061486	0.327275905092899	0.306	0.223	1	"Ast"	"CRB1"	"20-40"
"SNRNP70"	0.00296520377061056	-0.577684877111899	0.104	0.16	1	"Ast"	"SNRNP70"	"20-40"
"MARK1"	0.00298151440172417	0.387932277136282	0.131	0.077	1	"Ast"	"MARK1"	"20-40"
"EXOC6B"	0.00307618143287295	0.231472390479643	0.343	0.253	1	"Ast"	"EXOC6B"	"20-40"
"LINC01184"	0.00307753702580413	0.441738040141199	0.125	0.074	1	"Ast"	"LINC01184"	"20-40"
"ACSS3"	0.00311105937854356	0.21564409440481	0.198	0.129	1	"Ast"	"ACSS3"	"20-40"
"KIF9-AS1"	0.00311989306109132	0.266109619534606	0.149	0.09	1	"Ast"	"KIF9-AS1"	"20-40"
"USP47"	0.00313487557943403	0.219501651094164	0.245	0.167	1	"Ast"	"USP47"	"20-40"
"FHIT"	0.00313736626007541	0.207006242031341	0.48	0.369	1	"Ast"	"FHIT"	"20-40"
"MICALL2"	0.00314262669621769	-0.646420550836935	0.124	0.18	1	"Ast"	"MICALL2"	"20-40"
"BAZ2A"	0.00324844673194599	0.349803653979379	0.112	0.062	1	"Ast"	"BAZ2A"	"20-40"
