"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"disease"
"ASPH"	4.31920120411213e-09	-0.849380313207174	0.153	0.404	9.27850802667369e-05	"Ast"	"ASPH"	"40-60"	"MS"
"VAV3"	4.53663001171721e-09	-1.14268433466385	0.031	0.223	9.74558859117091e-05	"Ast"	"VAV3"	"40-60"	"MS"
"BRINP3"	4.89033890007495e-09	-1.153683202102	0.046	0.25	0.00010505426025141	"Ast"	"BRINP3"	"40-60"	"MS"
"PFKFB3"	4.94466938860009e-09	1.47229532276187	0.311	0.124	0.000106221387805907	"Ast"	"PFKFB3"	"40-60"	"MS"
"SPON1"	6.47590172409565e-09	-0.913284472863882	0.128	0.374	0.000139115320837023	"Ast"	"SPON1"	"40-60"	"MS"
"PDE7B"	7.96199051022443e-09	-0.922654779114011	0.153	0.407	0.000171039480140641	"Ast"	"PDE7B"	"40-60"	"MS"
"STXBP5"	8.01979624145861e-09	-1.09179839171796	0.097	0.316	0.000172281262859014	"Ast"	"STXBP5"	"40-60"	"MS"
"NHSL1"	9.41836332601338e-09	-0.98790663533027	0.148	0.387	0.000202325280969419	"Ast"	"NHSL1"	"40-60"	"MS"
"BCL6"	9.54196940015518e-09	1.22913992080481	0.362	0.165	0.000204980586654134	"Ast"	"BCL6"	"40-60"	"MS"
"COX7C"	9.66146435322835e-09	-0.998559369979745	0.036	0.225	0.000207547577236051	"Ast"	"COX7C"	"40-60"	"MS"
"ACTN1"	1.22523247331705e-08	1.56325546125379	0.163	0.03	0.000263204439917969	"Ast"	"ACTN1"	"40-60"	"MS"
"PAPLN"	1.27113165979295e-08	-0.995469354789192	0.046	0.245	0.000273064503156722	"Ast"	"PAPLN"	"40-60"	"MS"
"NTM"	1.33611827358969e-08	-0.58438378384617	0.75	0.865	0.000287024927532537	"Ast"	"NTM"	"40-60"	"MS"
"DNM3"	1.34421581077756e-08	-0.881317813482945	0.245	0.511	0.000288764440471235	"Ast"	"DNM3"	"40-60"	"MS"
"TOX"	1.35534752284852e-08	-1.10942117402882	0.092	0.308	0.00029115575485832	"Ast"	"TOX"	"40-60"	"MS"
"FTH1"	1.42445094284129e-08	-0.873264591060584	0.337	0.588	0.000306000551541165	"Ast"	"FTH1"	"40-60"	"MS"
"FOXG1"	1.53641277823872e-08	-1.19269109814753	0	0.148	0.000330052193021243	"Ast"	"FOXG1"	"40-60"	"MS"
"RBMS1"	1.58950210712197e-08	1.01974924542311	0.133	0.016	0.000341456842651942	"Ast"	"RBMS1"	"40-60"	"MS"
"FOS"	1.95472938573018e-08	0.945040060527937	0.224	0.06	0.000419914966642558	"Ast"	"FOS"	"40-60"	"MS"
"ANOS1"	2.11340724298239e-08	1.21377388863837	0.316	0.126	0.000454002143937477	"Ast"	"ANOS1"	"40-60"	"MS"
"PDZRN3"	2.19351353627341e-08	-1.02898799594956	0.082	0.291	0.000471210577862255	"Ast"	"PDZRN3"	"40-60"	"MS"
"MIR4300HG"	2.2631959538792e-08	1.49656525067829	0.367	0.176	0.00048617975481233	"Ast"	"MIR4300HG"	"40-60"	"MS"
"GGT5"	2.66781815925376e-08	1.18528215280359	0.122	0.014	0.000573100696970892	"Ast"	"GGT5"	"40-60"	"MS"
"RP11.444D3.1"	2.78851366021056e-08	-0.777429530087884	0.179	0.423	0.000599028504486432	"Ast"	"RP11.444D3.1"	"40-60"	"MS"
"DPP6"	3.29188111029889e-08	1.23593607902966	0.357	0.17	0.000707161900114408	"Ast"	"DPP6"	"40-60"	"MS"
"MERTK"	3.42193093405451e-08	-1.18918455404971	0.015	0.176	0.00073509920325359	"Ast"	"MERTK"	"40-60"	"MS"
"LRAT"	3.43460731477394e-08	1.37979788660614	0.163	0.033	0.000737822343359738	"Ast"	"LRAT"	"40-60"	"MS"
"MGLL"	3.45216440819722e-08	-1.20289278078716	0.02	0.181	0.000741593958168926	"Ast"	"MGLL"	"40-60"	"MS"
"GRIN2C"	3.456335514317e-08	-1.09683058551858	0.005	0.154	0.000742489995185579	"Ast"	"GRIN2C"	"40-60"	"MS"
"U91319.1"	3.68356118378342e-08	1.46971601986413	0.128	0.016	0.000791302613500355	"Ast"	"U91319.1"	"40-60"	"MS"
"FAM184A"	4.20253557052344e-08	-0.894060637649182	0.082	0.288	0.000902788691259846	"Ast"	"FAM184A"	"40-60"	"MS"
"SCG3"	4.37837126220274e-08	-1.16054546842488	0.026	0.192	0.000940561714546393	"Ast"	"SCG3"	"40-60"	"MS"
"LINC01481"	4.53117811809828e-08	-1.11305105567118	0.061	0.253	0.000973387683329874	"Ast"	"LINC01481"	"40-60"	"MS"
"NRGN"	4.87416626160499e-08	-1.20185604806455	0.005	0.151	0.00104706839631798	"Ast"	"NRGN"	"40-60"	"MS"
"EPHB1"	5.20823688639071e-08	-1.27295585489469	0.041	0.214	0.00111883344793445	"Ast"	"EPHB1"	"40-60"	"MS"
"MEF2C.AS1"	5.41782246031505e-08	-0.735815843314618	0.133	0.36	0.00116385662092488	"Ast"	"MEF2C.AS1"	"40-60"	"MS"
"ATP13A4"	5.4672763992609e-08	-0.689634055656462	0.117	0.343	0.00117448031608923	"Ast"	"ATP13A4"	"40-60"	"MS"
"NKAIN4"	5.72977686403216e-08	1.21199688818489	0.219	0.066	0.00123087066593139	"Ast"	"NKAIN4"	"40-60"	"MS"
"EDNRB"	6.58379204529387e-08	1.36996161429743	0.367	0.19	0.00141433020717003	"Ast"	"EDNRB"	"40-60"	"MS"
"COL27A1"	7.22228867707416e-08	1.18595563306361	0.163	0.036	0.00155149205360907	"Ast"	"COL27A1"	"40-60"	"MS"
"CHN1"	7.26172618273199e-08	-1.09635952369115	0.071	0.258	0.00155996401857449	"Ast"	"CHN1"	"40-60"	"MS"
"TLE1"	7.88460833400389e-08	-1.15184701399339	0.026	0.184	0.00169377156231071	"Ast"	"TLE1"	"40-60"	"MS"
"DPYSL3"	7.93869386853986e-08	1.45216940508635	0.276	0.11	0.00170539021683973	"Ast"	"DPYSL3"	"40-60"	"MS"
"NUPR1"	8.00224065713295e-08	1.0350683680653	0.291	0.11	0.0017190413379653	"Ast"	"NUPR1"	"40-60"	"MS"
"AC016716.2"	8.12283329423495e-08	-1.18021866022207	0	0.135	0.00174494704826755	"Ast"	"AC016716.2"	"40-60"	"MS"
"F11.AS1"	8.12283329423495e-08	-1.06176931819697	0	0.135	0.00174494704826755	"Ast"	"F11.AS1"	"40-60"	"MS"
"RP11.561I11.4"	8.12285046114751e-08	-1.06548219246701	0	0.135	0.00174495073606371	"Ast"	"RP11.561I11.4"	"40-60"	"MS"
"TMEM132C"	8.12285046114751e-08	-1.07065039849209	0	0.135	0.00174495073606371	"Ast"	"TMEM132C"	"40-60"	"MS"
"SGCZ"	9.5803315617327e-08	1.46459591466127	0.122	0.016	0.00205804682609142	"Ast"	"SGCZ"	"40-60"	"MS"
"NOS1AP"	9.9577666175881e-08	1.15388009536825	0.122	0.016	0.00213912742479027	"Ast"	"NOS1AP"	"40-60"	"MS"
"SYNPO2"	1.02606355838191e-07	1.23849408905837	0.153	0.03	0.00220418973611603	"Ast"	"SYNPO2"	"40-60"	"MS"
"CACNB2"	1.10795344426535e-07	-0.657240056110416	0.311	0.566	0.00238010558897082	"Ast"	"CACNB2"	"40-60"	"MS"
"ZDHHC14"	1.12283802419572e-07	1.23657644292754	0.281	0.115	0.00241208064357724	"Ast"	"ZDHHC14"	"40-60"	"MS"
