"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"MRC2"	1.5248776290702e-06	0.853426997704414	0.102	0.019	0.032757421227686	"Ast"	"MRC2"	"MS"
"NLRP1"	1.53594025187708e-06	0.965502323985742	0.189	0.068	0.0329950684908235	"Ast"	"NLRP1"	"MS"
"LMO3"	1.70770120023229e-06	-0.919694377043295	0.112	0.288	0.03668483718339	"Ast"	"LMO3"	"MS"
"NHSL1"	1.74282919239137e-06	-0.850820655136441	0.148	0.332	0.0374394567109513	"Ast"	"NHSL1"	"MS"
"INTU"	1.88822940124665e-06	-0.973824886946698	0.051	0.197	0.0405629439975806	"Ast"	"INTU"	"MS"
"PPP1R1B"	1.94372257879455e-06	-0.866709309516494	0.056	0.211	0.0417550484376645	"Ast"	"PPP1R1B"	"MS"
"F11.AS1"	2.32058268227121e-06	-0.881800526067738	0	0.106	0.0498507571805501	"Ast"	"F11.AS1"	"MS"
"RP11.561I11.4"	2.32058528113595e-06	-0.888204496671313	0	0.106	0.0498508130093624	"Ast"	"RP11.561I11.4"	"MS"
"SDC3"	2.33168471047119e-06	0.954081624662607	0.235	0.099	0.050089250950342	"Ast"	"SDC3"	"MS"
"SPTBN1"	2.34151424056529e-06	-0.545539183088481	0.214	0.421	0.0503004089158236	"Ast"	"SPTBN1"	"MS"
"MEF2C.AS1"	2.40353367370227e-06	-0.630781486990858	0.133	0.317	0.0516327103784721	"Ast"	"MEF2C.AS1"	"MS"
"PDE1A"	2.47531674361334e-06	-0.938313294688835	0.015	0.137	0.0531747542863018	"Ast"	"PDE1A"	"MS"
"FLNC"	2.61298564538294e-06	0.825002503454276	0.138	0.038	0.0561321576341163	"Ast"	"FLNC"	"MS"
"GINS3"	2.77218472529177e-06	0.996504142161314	0.128	0.034	0.0595520722687177	"Ast"	"GINS3"	"MS"
"SESN3"	2.8481234060634e-06	-1.13426725794278	0.071	0.22	0.061183387009054	"Ast"	"SESN3"	"MS"
"CX3CL1"	2.86634637957813e-06	1.02717301741155	0.107	0.023	0.0615748529260974	"Ast"	"CX3CL1"	"MS"
"DENND1A"	3.00084105048189e-06	-0.999195174153746	0.097	0.256	0.0644640674464519	"Ast"	"DENND1A"	"MS"
"NAV2"	3.04471896339005e-06	0.829586252304043	0.566	0.446	0.0654066527715452	"Ast"	"NAV2"	"MS"
"HTRA1"	3.10479317009457e-06	-0.674164859473606	0.173	0.37	0.0666971668799715	"Ast"	"HTRA1"	"MS"
